,0
391,https://baseballsavant.mlb.com/savant-player/681911
392,https://baseballsavant.mlb.com/savant-player/429440
393,https://baseballsavant.mlb.com/savant-player/623485
394,https://baseballsavant.mlb.com/savant-player/434378
395,https://baseballsavant.mlb.com/savant-player/670036
396,https://baseballsavant.mlb.com/savant-player/446399
397,https://baseballsavant.mlb.com/savant-player/444520
398,https://baseballsavant.mlb.com/savant-player/650382
399,https://baseballsavant.mlb.com/savant-player/435618
400,https://baseballsavant.mlb.com/savant-player/458720
401,https://baseballsavant.mlb.com/savant-player/519326
402,https://baseballsavant.mlb.com/savant-player/407849
403,https://baseballsavant.mlb.com/savant-player/502462
404,https://baseballsavant.mlb.com/savant-player/594857
405,https://baseballsavant.mlb.com/savant-player/593958
406,https://baseballsavant.mlb.com/savant-player/430661
407,https://baseballsavant.mlb.com/savant-player/664069
408,https://baseballsavant.mlb.com/savant-player/501936
409,https://baseballsavant.mlb.com/savant-player/622446
410,https://baseballsavant.mlb.com/savant-player/571437
411,https://baseballsavant.mlb.com/savant-player/571893
412,https://baseballsavant.mlb.com/savant-player/501989
413,https://baseballsavant.mlb.com/savant-player/277405
414,https://baseballsavant.mlb.com/savant-player/596074
415,https://baseballsavant.mlb.com/savant-player/458708
416,https://baseballsavant.mlb.com/savant-player/453943
417,https://baseballsavant.mlb.com/savant-player/573244
418,https://baseballsavant.mlb.com/savant-player/458677
419,https://baseballsavant.mlb.com/savant-player/488768
420,https://baseballsavant.mlb.com/savant-player/628317
421,https://baseballsavant.mlb.com/savant-player/660761
422,https://baseballsavant.mlb.com/savant-player/656713
423,https://baseballsavant.mlb.com/savant-player/623149
424,https://baseballsavant.mlb.com/savant-player/429708
425,https://baseballsavant.mlb.com/savant-player/664034
426,https://baseballsavant.mlb.com/savant-player/626929
427,https://baseballsavant.mlb.com/savant-player/534910
428,https://baseballsavant.mlb.com/savant-player/534627
429,https://baseballsavant.mlb.com/savant-player/658791
430,https://baseballsavant.mlb.com/savant-player/543699
431,https://baseballsavant.mlb.com/savant-player/642003
432,https://baseballsavant.mlb.com/savant-player/660896
433,https://baseballsavant.mlb.com/savant-player/473646
434,https://baseballsavant.mlb.com/savant-player/545357
435,https://baseballsavant.mlb.com/savant-player/400010
436,https://baseballsavant.mlb.com/savant-player/150119
437,https://baseballsavant.mlb.com/savant-player/489265
438,https://baseballsavant.mlb.com/savant-player/650893
439,https://baseballsavant.mlb.com/savant-player/650633
440,https://baseballsavant.mlb.com/savant-player/663460
441,https://baseballsavant.mlb.com/savant-player/465753
442,https://baseballsavant.mlb.com/savant-player/571666
443,https://baseballsavant.mlb.com/savant-player/445213
444,https://baseballsavant.mlb.com/savant-player/543281
445,https://baseballsavant.mlb.com/savant-player/502139
446,https://baseballsavant.mlb.com/savant-player/600965
447,https://baseballsavant.mlb.com/savant-player/571946
448,https://baseballsavant.mlb.com/savant-player/150035
449,https://baseballsavant.mlb.com/savant-player/425883
450,https://baseballsavant.mlb.com/savant-player/605476
451,https://baseballsavant.mlb.com/savant-player/489567
452,https://baseballsavant.mlb.com/savant-player/425794
453,https://baseballsavant.mlb.com/savant-player/643290
454,https://baseballsavant.mlb.com/savant-player/123801
455,https://baseballsavant.mlb.com/savant-player/592869
456,https://baseballsavant.mlb.com/savant-player/505447
457,https://baseballsavant.mlb.com/savant-player/446928
458,https://baseballsavant.mlb.com/savant-player/444382
459,https://baseballsavant.mlb.com/savant-player/665152
460,https://baseballsavant.mlb.com/savant-player/462956
461,https://baseballsavant.mlb.com/savant-player/523848
462,https://baseballsavant.mlb.com/savant-player/228594
463,https://baseballsavant.mlb.com/savant-player/594815
464,https://baseballsavant.mlb.com/savant-player/489056
465,https://baseballsavant.mlb.com/savant-player/460156
466,https://baseballsavant.mlb.com/savant-player/493547
467,https://baseballsavant.mlb.com/savant-player/605400
468,https://baseballsavant.mlb.com/savant-player/459967
469,https://baseballsavant.mlb.com/savant-player/621005
470,https://baseballsavant.mlb.com/savant-player/454537
471,https://baseballsavant.mlb.com/savant-player/519128
472,https://baseballsavant.mlb.com/savant-player/650556
473,https://baseballsavant.mlb.com/savant-player/518764
474,https://baseballsavant.mlb.com/savant-player/592614
475,https://baseballsavant.mlb.com/savant-player/502102
476,https://baseballsavant.mlb.com/savant-player/444447
477,https://baseballsavant.mlb.com/savant-player/453241
478,https://baseballsavant.mlb.com/savant-player/523253
479,https://baseballsavant.mlb.com/savant-player/430634
480,https://baseballsavant.mlb.com/savant-player/582494
481,https://baseballsavant.mlb.com/savant-player/475054
482,https://baseballsavant.mlb.com/savant-player/643511
483,https://baseballsavant.mlb.com/savant-player/461212
484,https://baseballsavant.mlb.com/savant-player/595897
485,https://baseballsavant.mlb.com/savant-player/621249
486,https://baseballsavant.mlb.com/savant-player/502143
487,https://baseballsavant.mlb.com/savant-player/448178
488,https://baseballsavant.mlb.com/savant-player/543859
489,https://baseballsavant.mlb.com/savant-player/664948
490,https://baseballsavant.mlb.com/savant-player/435620
491,https://baseballsavant.mlb.com/savant-player/477229
492,https://baseballsavant.mlb.com/savant-player/544759
493,https://baseballsavant.mlb.com/savant-player/477195
494,https://baseballsavant.mlb.com/savant-player/607309
495,https://baseballsavant.mlb.com/savant-player/605359
496,https://baseballsavant.mlb.com/savant-player/545338
497,https://baseballsavant.mlb.com/savant-player/623406
498,https://baseballsavant.mlb.com/savant-player/664042
499,https://baseballsavant.mlb.com/savant-player/502273
500,https://baseballsavant.mlb.com/savant-player/572140
501,https://baseballsavant.mlb.com/savant-player/445590
502,https://baseballsavant.mlb.com/savant-player/276530
503,https://baseballsavant.mlb.com/savant-player/518445
504,https://baseballsavant.mlb.com/savant-player/489150
505,https://baseballsavant.mlb.com/savant-player/285079
506,https://baseballsavant.mlb.com/savant-player/605130
507,https://baseballsavant.mlb.com/savant-player/527054
508,https://baseballsavant.mlb.com/savant-player/502087
509,https://baseballsavant.mlb.com/savant-player/660875
510,https://baseballsavant.mlb.com/savant-player/608638
511,https://baseballsavant.mlb.com/savant-player/657053
512,https://baseballsavant.mlb.com/savant-player/642397
513,https://baseballsavant.mlb.com/savant-player/623167
514,https://baseballsavant.mlb.com/savant-player/543391
515,https://baseballsavant.mlb.com/savant-player/448656
516,https://baseballsavant.mlb.com/savant-player/592704
517,https://baseballsavant.mlb.com/savant-player/595939
518,https://baseballsavant.mlb.com/savant-player/543809
519,https://baseballsavant.mlb.com/savant-player/571439
520,https://baseballsavant.mlb.com/savant-player/543125
521,https://baseballsavant.mlb.com/savant-player/459983
522,https://baseballsavant.mlb.com/savant-player/592769
523,https://baseballsavant.mlb.com/savant-player/572750
524,https://baseballsavant.mlb.com/savant-player/488984
525,https://baseballsavant.mlb.com/savant-player/592127
526,https://baseballsavant.mlb.com/savant-player/570810
527,https://baseballsavant.mlb.com/savant-player/467850
528,https://baseballsavant.mlb.com/savant-player/542914
529,https://baseballsavant.mlb.com/savant-player/430664
530,https://baseballsavant.mlb.com/savant-player/622774
531,https://baseballsavant.mlb.com/savant-player/446213
532,https://baseballsavant.mlb.com/savant-player/571760
533,https://baseballsavant.mlb.com/savant-player/570649
534,https://baseballsavant.mlb.com/savant-player/218596
535,https://baseballsavant.mlb.com/savant-player/452657
536,https://baseballsavant.mlb.com/savant-player/429985
537,https://baseballsavant.mlb.com/savant-player/543754
538,https://baseballsavant.mlb.com/savant-player/453222
539,https://baseballsavant.mlb.com/savant-player/599998
540,https://baseballsavant.mlb.com/savant-player/661255
541,https://baseballsavant.mlb.com/savant-player/449104
542,https://baseballsavant.mlb.com/savant-player/542888
543,https://baseballsavant.mlb.com/savant-player/502162
544,https://baseballsavant.mlb.com/savant-player/516589
545,https://baseballsavant.mlb.com/savant-player/276056
546,https://baseballsavant.mlb.com/savant-player/407296
547,https://baseballsavant.mlb.com/savant-player/234194
548,https://baseballsavant.mlb.com/savant-player/605396
549,https://baseballsavant.mlb.com/savant-player/464416
550,https://baseballsavant.mlb.com/savant-player/623433
551,https://baseballsavant.mlb.com/savant-player/592254
552,https://baseballsavant.mlb.com/savant-player/608371
553,https://baseballsavant.mlb.com/savant-player/460072
554,https://baseballsavant.mlb.com/savant-player/467785
555,https://baseballsavant.mlb.com/savant-player/543548
556,https://baseballsavant.mlb.com/savant-player/432934
557,https://baseballsavant.mlb.com/savant-player/572971
558,https://baseballsavant.mlb.com/savant-player/592741
