player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Tzu-Wei Lin,3B,BOS,--,1,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/624407
Chris Sale,P,BOS,--,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/519242
Blake Swihart,C,BOS,--,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/596119
Sam Travis,1B,BOS,--,0,3,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/607752
Rajai Davis,CF,BOS,--,9,5,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,https://www.mlb.com/player/434658
Jhonny Peralta,3B,BOS,--,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/425509
Rafael Devers,3B,BOS,--,3,5,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/646240
Mike Freeman,SS,CHC,--,1,2,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/502273
Mark Zagunis,LF,CHC,--,1,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/657145
Jon Lester,P,CHC,--,1,2,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/452657
Victor Caratini,C,CHC,--,2,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/605170
Jacob Hannemann,CF,CHC,--,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/595238
Kyle Hendricks,P,CHC,--,4,2,0,0,0,0,1,0,2,0,0,.000,.000,.000,.000,https://www.mlb.com/player/543294
Leonys Martin,OF,CHC,--,4,1,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,https://www.mlb.com/player/547982
Jacob May,CF,CWS,--,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/594576
Willy Garcia,RF,CWS,--,4,2,0,0,0,0,4,0,2,0,0,.000,.000,.000,.000,https://www.mlb.com/player/591994
Alen Hanson,RF,CWS,--,2,7,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/593700
Tyler Saladino,2B,CWS,--,1,4,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/573135
Cody Asche,DH,CWS,--,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/605125
Sal Romano,P,CIN,--,3,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,https://www.mlb.com/player/607219
Asher Wojciechowski,P,CIN,--,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/592879
Drew Storen,P,CIN,--,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/519322
Amir Garrett,P,CIN,--,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/607237
Homer Bailey,P,CIN,--,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/456701
Austin Brice,P,CIN,--,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/592169
Stuart Turner,C,CIN,--,2,1,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/642156
Luis Castillo,P,CIN,--,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/622491
Phillip Ervin,RF,CIN,--,2,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/640447
Tim Adleman,P,CIN,--,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/534947
Tyler Mahle,P,CIN,--,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/641816
Devin Mesoraco,C,CIN,--,4,3,0,0,0,0,1,0,2,0,0,.000,.000,.000,.000,https://www.mlb.com/player/519023
Scott Van Slyke,LF,CIN,--,1,2,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/475100
Robert Stephenson,P,CIN,--,2,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,https://www.mlb.com/player/596112
Scott Feldman,P,CIN,--,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/444857
Greg Allen,CF,CLE,--,2,2,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,https://www.mlb.com/player/656185
Josh Tomlin,P,CLE,--,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/458708
Jason Kipnis,2B,CLE,--,3,7,0,0,0,0,2,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/543401
Abraham Almonte,RF,CLE,--,2,3,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/501659
Michael Martinez,2B,CLE,--,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/492841
Erik Gonzalez,2B,CLE,--,4,2,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,https://www.mlb.com/player/570481
Daniel Robertson,LF,CLE,--,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/543706
Tyler Naquin,CF,CLE,--,0,2,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/571980
Francisco Mejia,C,CLE,--,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/642336
Raimel Tapia,CF,COL,--,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/606132
Jeff Hoffman,P,COL,--,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/656546
German Marquez,P,COL,--,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/608566
